epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,69910.5,1.16963,2.96935,1.02131,1.16515,0.56661,0.30947,0.31957,0.2164,0.45825,0.21431,0.21312,0.12346,1.35374,3.43585,1.22976,1.13884,0.000126621,0.000126621,0.000126621
69,70944.9,1.17058,2.9699,1.01902,1.165,0.57477,0.31036,0.32247,0.21331,0.49344,0.21155,0.22108,0.12241,1.3565,3.4663,1.24803,1.14358,0.000125122,0.000125122,0.000125122
70,71977.2,1.1685,2.96092,1.0129,1.16293,0.5459,0.306,0.32226,0.21885,0.4227,0.21511,0.2143,0.12489,1.35355,3.38555,1.23422,1.1473,0.000123624,0.000123624,0.000123624
71,73013.8,1.17974,2.97465,1.01899,1.16674,0.50343,0.30771,0.32162,0.21264,0.42118,0.21528,0.21301,0.12101,1.36781,3.45394,1.2437,1.14862,0.000122126,0.000122126,0.000122126
72,74048.7,1.16892,2.96171,1.01202,1.16379,0.49927,0.30616,0.32011,0.21538,0.42965,0.22368,0.22043,0.12346,1.36367,3.44848,1.24941,1.1518,0.000120628,0.000120628,0.000120628
73,75091.4,1.17282,2.96081,1.01346,1.1646,0.49667,0.30912,0.32298,0.21551,0.42055,0.21522,0.21054,0.11938,1.36428,3.39248,1.24548,1.15053,0.00011913,0.00011913,0.00011913
74,76135.9,1.17042,2.95568,1.01455,1.16379,0.55118,0.3054,0.33212,0.21626,0.42441,0.21629,0.22081,0.12536,1.36739,3.42452,1.24444,1.15485,0.000117631,0.000117631,0.000117631
75,77168.3,1.16693,2.95317,1.00542,1.15891,0.50739,0.29984,0.32364,0.21937,0.43465,0.21161,0.21727,0.1263,1.38629,3.54918,1.28265,1.15693,0.000116133,0.000116133,0.000116133
76,79276.5,1.16435,2.94565,1.00669,1.15925,0.57262,0.3032,0.32088,0.21543,0.46084,0.21413,0.213,0.12317,1.34846,3.38434,1.23185,1.14034,0.000114635,0.000114635,0.000114635
77,86226.1,1.17324,2.96733,1.01375,1.16286,0.57812,0.30462,0.3135,0.21106,0.46252,0.21534,0.21118,0.11993,1.35543,3.41285,1.2329,1.14857,0.000113137,0.000113137,0.000113137
78,87200.6,1.16305,2.9372,0.99995,1.15766,0.58691,0.30682,0.32664,0.22008,0.45814,0.21869,0.21578,0.12594,1.34937,3.40428,1.22002,1.13623,0.000111639,0.000111639,0.000111639
79,88180.4,1.16245,2.94385,1.00148,1.15947,0.57731,0.30381,0.31633,0.21536,0.45328,0.21596,0.22124,0.12119,1.35097,3.38828,1.22316,1.14311,0.00011014,0.00011014,0.00011014
80,89163.7,1.16332,2.9572,0.99845,1.15672,0.54866,0.30804,0.32495,0.2174,0.42708,0.21812,0.21311,0.12265,1.34852,3.40334,1.21882,1.14037,0.000108642,0.000108642,0.000108642
81,90145.1,1.15858,2.93958,0.99882,1.15602,0.51964,0.30899,0.31881,0.21479,0.39612,0.2214,0.21102,0.12249,1.3528,3.44413,1.23561,1.14412,0.000107144,0.000107144,0.000107144
82,91125.4,1.1614,2.94853,0.99508,1.15458,0.54904,0.3053,0.32842,0.22135,0.43825,0.21389,0.21961,0.12544,1.36101,3.4641,1.25052,1.14507,0.000105646,0.000105646,0.000105646
83,92110.9,1.16056,2.93491,0.99672,1.15807,0.54094,0.31099,0.33109,0.22403,0.45717,0.22087,0.22224,0.12752,1.36063,3.42905,1.2441,1.14748,0.000104148,0.000104148,0.000104148
84,93098.6,1.16395,2.94113,0.99784,1.15648,0.57345,0.30201,0.32205,0.21598,0.46728,0.21489,0.21489,0.12178,1.36039,3.39698,1.23494,1.14542,0.000102649,0.000102649,0.000102649
85,94074.6,1.15291,2.92227,0.99141,1.15334,0.46293,0.32437,0.32306,0.21446,0.42945,0.21946,0.21695,0.12348,1.36513,3.42414,1.25142,1.14935,0.000101151,0.000101151,0.000101151
86,95059.2,1.15558,2.93248,0.9877,1.15378,0.50695,0.31029,0.33026,0.21709,0.39409,0.21981,0.22232,0.1242,1.35574,3.4399,1.23813,1.1441,9.9653e-05,9.9653e-05,9.9653e-05
87,96044.5,1.152,2.927,0.98999,1.15564,0.50314,0.31197,0.3235,0.21848,0.39231,0.21775,0.21373,0.12292,1.36579,3.48175,1.24531,1.15231,9.81548e-05,9.81548e-05,9.81548e-05
88,97030.7,1.15538,2.93172,0.98439,1.14779,0.53697,0.31073,0.33143,0.22639,0.45696,0.21822,0.223,0.12906,1.35469,3.42666,1.23305,1.13799,9.66566e-05,9.66566e-05,9.66566e-05
